Tue, 08 Aug 2017 17:08:40 lagouetl.py[line:104] INFO COPY pageno 189, insert count: 118670 current offset: 189000
Tue, 08 Aug 2017 17:09:13 lagouetl.py[line:104] INFO COPY pageno 190, insert count: 119109 current offset: 190000
Tue, 08 Aug 2017 17:09:42 lagouetl.py[line:104] INFO COPY pageno 191, insert count: 119503 current offset: 191000
Tue, 08 Aug 2017 17:10:10 lagouetl.py[line:104] INFO COPY pageno 192, insert count: 119761 current offset: 192000
Tue, 08 Aug 2017 17:10:39 lagouetl.py[line:104] INFO COPY pageno 193, insert count: 120016 current offset: 193000
Tue, 08 Aug 2017 17:11:08 lagouetl.py[line:104] INFO COPY pageno 194, insert count: 120207 current offset: 194000
Tue, 08 Aug 2017 17:11:38 lagouetl.py[line:104] INFO COPY pageno 195, insert count: 120471 current offset: 195000
Tue, 08 Aug 2017 17:12:07 lagouetl.py[line:104] INFO COPY pageno 196, insert count: 120767 current offset: 196000
Tue, 08 Aug 2017 17:12:37 lagouetl.py[line:104] INFO COPY pageno 197, insert count: 121024 current offset: 197000
Tue, 08 Aug 2017 17:13:07 lagouetl.py[line:104] INFO COPY pageno 198, insert count: 121334 current offset: 198000
Tue, 08 Aug 2017 17:13:36 lagouetl.py[line:104] INFO COPY pageno 199, insert count: 121607 current offset: 199000
Tue, 08 Aug 2017 17:14:04 lagouetl.py[line:104] INFO COPY pageno 200, insert count: 121915 current offset: 200000
Tue, 08 Aug 2017 17:14:32 lagouetl.py[line:104] INFO COPY pageno 201, insert count: 122231 current offset: 201000
Tue, 08 Aug 2017 17:15:02 lagouetl.py[line:104] INFO COPY pageno 202, insert count: 122482 current offset: 202000
Tue, 08 Aug 2017 17:15:31 lagouetl.py[line:104] INFO COPY pageno 203, insert count: 122832 current offset: 203000
Tue, 08 Aug 2017 17:15:59 lagouetl.py[line:104] INFO COPY pageno 204, insert count: 123107 current offset: 204000
Tue, 08 Aug 2017 17:16:30 lagouetl.py[line:104] INFO COPY pageno 205, insert count: 123401 current offset: 205000
Tue, 08 Aug 2017 17:16:59 lagouetl.py[line:104] INFO COPY pageno 206, insert count: 123952 current offset: 206000
Tue, 08 Aug 2017 17:17:28 lagouetl.py[line:104] INFO COPY pageno 207, insert count: 124616 current offset: 207000
Tue, 08 Aug 2017 17:17:57 lagouetl.py[line:104] INFO COPY pageno 208, insert count: 125227 current offset: 208000
Tue, 08 Aug 2017 17:18:26 lagouetl.py[line:104] INFO COPY pageno 209, insert count: 125908 current offset: 209000
Tue, 08 Aug 2017 17:18:56 lagouetl.py[line:104] INFO COPY pageno 210, insert count: 126574 current offset: 210000
Tue, 08 Aug 2017 17:19:25 lagouetl.py[line:104] INFO COPY pageno 211, insert count: 127121 current offset: 211000
Tue, 08 Aug 2017 17:19:53 lagouetl.py[line:104] INFO COPY pageno 212, insert count: 127712 current offset: 212000
Tue, 08 Aug 2017 17:20:22 lagouetl.py[line:104] INFO COPY pageno 213, insert count: 128359 current offset: 213000
Tue, 08 Aug 2017 17:20:50 lagouetl.py[line:104] INFO COPY pageno 214, insert count: 129028 current offset: 214000
Tue, 08 Aug 2017 17:21:19 lagouetl.py[line:104] INFO COPY pageno 215, insert count: 129675 current offset: 215000
Tue, 08 Aug 2017 17:21:47 lagouetl.py[line:104] INFO COPY pageno 216, insert count: 130300 current offset: 216000
Tue, 08 Aug 2017 17:22:15 lagouetl.py[line:104] INFO COPY pageno 217, insert count: 130883 current offset: 217000
